ID,list,case,sex,age,acq_date,condition,stim_nr,stim_category,stim_A,stim_T,AC,TY
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,42,tauchen,A_Tauch3_14,T_Tauch3,tauchen,7
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,43,tragen,A_Trage1_15,T_Trage1,tragen,7
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,44,tragen,A_Trage2_15,T_Trage2,tragen,5
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,45,tragen,A_Trage3_15,T_Trage3,tragen,6
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,46,verdrehen,A_Verdr1_16,T_Verdr1,verdrehen,3
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,47,verdrehen,A_Verdr2_16,T_Verdr2,verdrehen,2
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,48,verdrehen,A_Verdr3_16,T_Verdr3,verdrehen,3
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,49,waschen,A_Wasch1_17,T_Wasch1,schrubben,5
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,50,waschen,A_Wasch2_17,T_Wasch2,waschen,7
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,51,waschen,A_Wasch3_17,T_Wasch3,schrubben,3
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,52,zurückschneiden,A_Zurue1_18,T_Zurue1,zurückschneiden,6
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,53,zurückschneiden,A_Zurue2_18,T_Zurue2,zurückschneiden,4
875,1,40,weiblich,50,2021-04-17T20:17:10Z,dynamisch,54,zurückschneiden,A_Zurue3_18,T_Zurue3,zurückschneiden,5
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,1,anschmiegen,A_Ansch1_1,T_Ansch1,anschmiegen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,2,anschmiegen,A_Ansch2_1,T_Ansch2,anschmiegen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,3,anschmiegen,A_Ansch3_1,T_Ansch3,anschmiegen,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,4,anzünden,A_Anzue1_2,T_Anzue1,anzünden,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,5,anzünden,A_Anzue2_2,T_Anzue2,anzünden,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,6,anzünden,A_Anzue3_2,T_Anzue3,anzünden,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,7,aufwachen,A_Aufwa1_3,T_Aufwa1,aufwachen,6
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,8,aufwachen,A_Aufwa2_3,T_Aufwa2,aufwachen,5
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,9,aufwachen,A_Aufwa3_3,T_Aufwa3,aufwachen,5
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,10,einpacken,A_Einpa1_4,T_Einpa1,einpacken,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,11,einpacken,A_Einpa2_4,T_Einpa2,einpacken,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,12,einpacken,A_Einpa3_4,T_Einpa3,einpacken,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,13,einstecken,A_Einst1_5,T_Einst1,einstecken,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,14,einstecken,A_Einst2_5,T_Einst2,verdrehen,4
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,15,einstecken,A_Einst3_5,T_Einst3,einstecken,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,16,eintippen,A_Einti1_6,T_Einti1,schreiben,6
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,17,eintippen,A_Einti2_6,T_Einti2,schreiben,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,18,eintippen,A_Einti3_6,T_Einti3,schreiben,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,19,eintreten,A_Eintr1_7,T_Eintr1,eintreten,5
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,20,eintreten,A_Eintr2_7,T_Eintr2,eintreten,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,21,eintreten,A_Eintr3_7,T_Eintr3,eintreten,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,22,lernen,A_Lerne1_8,T_Lerne1,lernen,3
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,23,lernen,A_Lerne2_8,T_Lerne2,schreiben,4
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,24,lernen,A_Lerne3_8,T_Lerne3,lernen,6
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,25,massieren,A_Massi1_9,T_Massi1,massieren,7
449,1,41,weiblich,20,2021-04-18T09:28:56Z,dynamisch,26,massieren,A_Massi2_9,T_Massi2,massieren,7
